userName,score,at,content,manual_label
Angelus Christela Ratih Kemala,1,2022-02-13 17:28:26,"hallo min tolong di respon secepatnya perihal masalah pendaftaran vaksinasi di aplikasi jss kenapa saya tidak bisa login dan mendapatkan info vaksin di app jss padahal sebelumnya bisa tolong perbaikannya dan saya belum mendapatkan dosis2 vaksin moderna, tolong bantuannya segera, terimakasih",negative
Simed,2,2022-02-13 05:05:11,"Aplikasi dibuka blank, apa dalam perbaikan?",negative
DARMAWAN TIYANG JOGJA,5,2022-02-12 09:57:56,Asn pengguna JSS,neutral
Yulius Ilmoe,5,2022-02-10 13:36:07,Good service,positive
Ayhuxz Nduttz,1,2022-02-10 07:56:38,Gk bisa di gunakan mhin di tingkatkan,negative
Tito Herlambang,2,2022-02-10 07:25:12,"Pernah daftar, mau masuk lagi lupa password, ngga ada bantuan apa gtu biar masuk lagi, susahnyaaa",negative
Sukarman Karman,5,2022-02-09 08:55:19,Bagus sip bingit....,positive
Didi Aris,5,2022-02-08 13:16:34,Sangat membantu saat pandemi seperti sekarang.. tks,positive
Shidiq Rochadi,1,2022-02-07 00:26:42,"Aplikasi jelek, lemot",negative
Adia Neisya.S,1,2022-02-05 04:37:39,"aplikasi rusak..sebagai warga jogja kecewa sih,niat pngen lewat online tp mlah aplikasi.nya eror gini..ujung""nya harus ke balkot urus manual",negative
Sudaryanto,5,2022-02-03 03:43:49,Mudah di operasikan,positive
Ning Dwi Astuti Gedongkiwo,5,2022-02-02 23:49:33,Bagus banget,positive
신순문,1,2022-01-30 14:28:35,Gimana cara Promosi jualan ke DODOLAN ko susah bgt lemot,negative
fathonah kg4,5,2022-01-27 08:55:18,praktis banget,positive
Bagas Zidnidan,5,2022-01-27 05:13:38,Bagus dan bermanfaat,positive
Saddam Miqdad,1,2022-01-26 05:30:18,Aplikasi kurang sempurna,negative
Eko Sulistyono,5,2022-01-24 01:49:26,Mantap sekali coy 👍🙏👍,positive
agung bendot,1,2022-01-21 02:24:14,Susah aplikasinya.. Ngurus Apa apa harus online kasian untuk orang2 yang gapunya hp.. Saya datang ke capil disuruh download apl ini bukanya dipermudah malah dipersulit.. Dari 3 hr lalu gabisa dibuka tiap tabnya selalu warna putih.. Tolong untuk pegawai pemerintah mohon dengan sangat jangan dipersulit..,negative
Tatik Wahyati,5,2022-01-20 05:35:29,"Saya belum pernah vaksin, bagaimana caranya",neutral
Gen Biru,5,2022-01-19 12:52:01,Siip update selalu.. cari bug nya biar jossss,neutral
Ihsan Akbar,5,2022-01-17 18:09:50,Bagus,positive
Adhitia MK,3,2022-01-17 03:15:24,Sudah lebih baik,neutral
Makhfud Budi,5,2022-01-13 08:01:19,Nunggu lama tau2 ditolak permohonannya. Padahal syarat sudah lengkap,negative
Haruanpepes,1,2022-01-13 02:21:51,"teruntuk developer apk JSS Apk y uda gud,tampilan y ok simpel mudah d mengerti. E tapi Fungsional apk sangat kurang 1.Isi formulir malah di alihkan ke browser 2.Nomor Pengaduan yg tertera no respon",negative
Maryani Nani,5,2022-01-11 13:45:17,Memudahkan daLam penguRusan suRat2,positive
Agustin Putri,5,2022-01-08 16:16:20,Kalau mengurus surat Cerai mati apakah harus pakai surat kematian karena meninggalnya di Jakarta bersama Istri barunya,neutral
Having Vadana,5,2022-01-08 04:29:44,"Bagus semakin baik pelayanan,istimewa jogja kota",positive
Silpina Yuliana,5,2022-01-04 07:36:08,Baik,neutral
alveonita EL kristanto,4,2022-01-02 00:13:07,"Sejauh ini baik. Tp barusan sy coba utk daftar antrian puskesmas, mau upload foto data diri, lgsg close sendiri app nya. Knp ya? Tolong dong..",neutral
Siemens A 50,4,2021-12-24 09:20:05,"mas, kok sok njepat dewe. dadak dudul meneh. sing pinisepuh hpne wis jadul2 je.. yen bisa digawe luwih entheng nggih. nuwun",negative
satria bajahitam,1,2021-12-16 01:58:58,Tidak membantu sama sekali....payah,negative
Alvin Farras,1,2021-12-15 03:08:13,Pelayanan yang berbelit belit dan plinplan....,negative
MasBekel Surojono,3,2021-12-14 06:07:41,Mau update malah mandek ditengah jalan alhasil macet,negative
Alvin Syuhada,5,2021-12-10 08:46:43,Top👍,positive
Djoko Madurianto Sunarto,5,2021-12-09 09:45:43,"Memotong mata rantai birokrasi yang berbelit-belit. Jos gandos, mantap jiwa.",positive
Lakstiono Ganthi,1,2021-12-08 07:58:09,Membalas pesan Membuat pengaduan Hampir semua tidak bisa diakses dengan keterangan hanya untuk warga kota jogjakarta.. Padahal dengan jelas data yg saya punya untuk mendaftar juga ktp kota jogja.. Mohon diperbaiki,negative
Heri Marsanto,5,2021-12-07 05:11:18,Ya baik,neutral
Yusuf dwiprakosa,5,2021-12-05 11:16:16,"Sangat Membantu ,, Bagus Sekali😀",positive
Elizabeth Shintalia,5,2021-12-04 06:04:49,Good,neutral
Koes Martono,1,2021-12-01 02:34:19,"Mosok warga luar kota jogja, ndak bisa mendaftarkan ortu yang tinggal di kota mau periksa di puskesmas kota",positive
Tablet Lawas,4,2021-11-30 16:57:57,Apik neh Nek hp jadul Yo iso lancar. Mesakke para pinisepuh sing hp ne kalah karo anak putune,neutral
Baqi Raharjo,5,2021-11-28 09:24:18,Mantap,positive
Anton Balio,3,2021-11-27 08:04:58,Aplikasi yang sebenarnya bagus dan bermanfaat. Sayangnya tidak ada panduan untuk pengguna baru.. Pernah saya membuat aduan lewat aplikasi jss dan baru pertama kali membuat aduan. Setelah seharian saya tunggu tunggu kok aduan saya tidak tampil ke publik. Ternyata aduan saya dirahasiakan. Mohon untuk semua aduan itu ditampilkan ke publik tidak ada opsi dirahasiakan. Saya percaya pemangku pemangku di kota yogyakarta ini orang orang yg bijaksana. Jadi transparan aja tidak perlu dirahasiakan.,negative
Arya Dwipangga,3,2021-11-26 13:07:11,Diinstal susah banget..bolak balik ke menu..setelah terinstal aplikasinya tidak muncul di layar hp,negative
Topo Sutopo,5,2021-11-25 21:30:47,"Mejadi Keira RT, 13/04 sidomulyo never regal rejoice yogyakarta",positive
btp,2,2021-11-25 15:55:46,"Cara ganti RT RW di data pribadi di profil begimana ?? Gak bisa di klik ,gak bisa diganti ,,",neutral
Heru Syamdani,5,2021-11-25 04:48:08,"Aplikasi ini sangat bermanfaat, akan tetapi ketika saya akan mengklik layanan dukcapil terkhusus pembuatan akta tidak bisa diklik atau tidak tersambung ke webnya... Entah hape saya yang bermasalah atau bagaimana? Mohon pencerahannya.",neutral
Roy Of Palar,5,2021-11-24 11:23:49,"Saya sangat senang dgn aplikasi ini. Saya sdh merasakan manfaatnya. Berharap seluruh kota d Indonesia punya aplikasi seperti ini yg bisa mengatasi pungli. O iya, selama ngurus surat d Kota Jogja, saya tdk pernah temui pungli. Sangat puassss...🙏🙏",positive
Automazone,1,2021-11-23 08:14:25,"Layanan daftar online, tapi jam kerja cuma sampai jam 12.00, selebihnya ditolak. Nek males, golek penak, rasah kerjo sisan wae mas. Turu wae ning omah penak.",negative
Rizky Prastya,5,2021-11-20 16:39:16,Bagus,positive
Nzul Khoer,1,2021-11-19 11:34:49,"Kenapa pas permohonan ektp buat yg domisili ktp luar jogja tdk bsa sya cmn mau nunut Cetak ulang krna ktp sya rusak dn itu ktny tdk bsa hrus di tmpt kta tinggl sehrus ny bsa lhoo mnrut pak zudan tp dilapangan nyatanya diputar""",negative
Farizt Rachman,5,2021-11-19 10:18:13,Sangat membantu informasi ter apdet.,positive
Fatimah Anyunari,5,2021-11-18 03:52:28,Semoga bermanfaat,neutral
Savakustik Music Channel,5,2021-11-18 03:25:50,Semoga bermanfaat,neutral
Vhava Kurniawan,5,2021-11-16 06:35:25,Banyak sistem yang belum bisa di akses.. Padahal sangat membantu,neutral
Adhe Juniary,3,2021-11-13 20:35:44,"Aplikasinya bagus tapi, Kurang memuaskan karna akses layanan sy ditolak padahal saya sudah menjadi warga Jogja. Walaupun saya hanya warga pendatang. Tetapi saya sudah mencabut berkas dari daerah asal dan seluruhnya menjadi warga Jogja. Akses Layanan Akte kelahiran juga susah, padahal saya adalah ibu kandung masa harus lampiran surat kuasa. Tolong upgrate lagi Aplikasinya agar lebih baik lagi. Trima kasih",neutral
Samsul Driver,5,2021-11-13 14:43:54,Ok,neutral
Samudera 08,5,2021-11-10 07:04:02,Sangat bermanfaat dan membantu.,positive
Achmad Candra,1,2021-11-09 03:08:17,"Mengurus kepindahan KTP saja dipersulit dan diarahkan aplikasi yg sepertinya tidak siap, niate online malah ora efektif",negative
Dab Mas Donelemo,5,2021-11-02 04:11:11,Ok ok ok ok,neutral
Oky Yudistira,5,2021-10-31 02:47:15,"Aplikasinya sangat bermanfaat, tapi sayangnya sampai detik ini msh ada beberapa menu yang tidak berfungsi padahal sebelumnya berfungsi seperti menu Kependudukan dan catatan sipil dan pendaftaran vaksin. Minta tolong utk diperbaiki. Terimakasih",neutral
Maria Kristina,5,2021-10-24 17:25:18,pengaduan selalu di respon,positive
Arthur Pranadipta,5,2021-10-19 04:15:05,"Aplikasinya bagus banget,,saya KTP luar jogja bisa vaksin di RSUD wirosaban, petugasnya ramah-ramah semua, rumah sakitnya Bersih dan Nyaman..terimakasih",positive
Ardi Wibowo,1,2021-10-17 13:35:30,Aplikasi rusak,negative
Johan Palagan,1,2021-10-15 01:34:24,"Saya sdh wa utk perubahan C1 sdh seminggu perubahan nya blm jg dikirim baik lewat wa atau email, saya komplain lewat wa yg sama ttp tdk ad respon. Terpaksa saya dftar lg utk perubahan ktp dan c1 lg.... lwat fitur jss pun jg akhirnya wa lg dan wa lg ... seperti muter2 saja.",negative
Cantika nadin,5,2021-10-14 18:56:06,Ok,neutral
seto ksatria,1,2021-10-13 04:34:45,"PELAYANAN DAN INFORMASI YANG BERBELIT MENYUSAHKAN WARGA. APALAGI URUSAN VAKSIN.. INFONYA KURANG JELAS DAN KURANG TRANSPARAN. JADWAL VAKSIN SMS SUDAH DITEPATI MALAH DISURUH PULANG SAMA PETUGAS ALASANNYA JADWAL VAKSIN DIUNDUR, TANPA INFO SEBELUMNYA. PELAYANAN KARYAWAN NEGARA DARI DULU MEMANG KURANG PROFESIONAL. MESAKNE PAK JOKO, BAWAHANE KOYO TELO",negative
Hary Yanta,5,2021-10-12 06:48:15,Baik,positive
Pakde,5,2021-10-11 13:01:30,"Lambat, pake kuota maupun wifi",negative
Ilmo Y R,1,2021-10-08 06:50:32,"Pelayanan KTP tdk bisa di klik, layanan WA tdk ada respon, Tanya ke Balai Kota diarahkan lagi ke Jss... Padahal Aplikasinya selalu error",negative
Sonyindra P,4,2021-10-05 05:44:57,"Aplikasi membantu sekali..hanya kurang opsi perbaikan jika ada syarat yg kurang.....namun petugas juga tidak lengkap jika ada kekurangan berkas permohonan. Saya sampai submit permohonan 3x karena kekurangan berkas yg tidak sekalian ditulis di catatan,",neutral
ersant ersant,1,2021-10-04 08:38:21,Lumayan ? ? ?,neutral
Max-G Game,3,2021-10-04 04:19:55,Bintang 3 Dulu.. Kok gk bs Daftar Vaksin ya?? Katanya bs dipake tgl 10 Juli.. Ini dh tgl 04 Oktober.. Gimana cara nya??,neutral
Kaswin Andrianto,5,2021-10-03 20:58:08,Oke,neutral
Captain IWAN,2,2021-10-02 13:46:50,Warga Jogja dikasih vaksin yg biasa (sinovac) warga non jogja malah di kasih vaksin yg bagus (moderna). Sangat memihak 👎👎👎,negative
Ethan Fakhri,1,2021-09-29 01:42:39,"Daftar vaksin disini berasa ditipu. Ditulisnya Astrazenica, sampai lokasi malah dikasih coronavac",negative
Supardjono Mudjiman,5,2021-09-28 13:10:50,Ok,negative
Riyanto Stefanus,5,2021-09-28 08:11:56,"Saya langsung beri bintang 5 tanpa basa basi, dari awal proses instalasi aplikasi, pengajuan permohonan, sampai pengambilan dokumen yang sudah jadi berjalan lancar tanpa kendala, permohonan perubahan KK secara online lsg jadi kurang dari sehari dengan pencetakan mandiri,permohonan KTP perubahan lsg jadi kurang dari setengah hari dan lsg bisa diambil ke loket mall pelayanan publik di balaikota Timoho..ada baiknya sebelum mengajukan permohonan yg diinginkan dpt disiapkan dokumen² pendukung.",positive
Triyuniwinarti yuni Winarti,5,2021-09-27 22:38:42,Bagus sekali,positive
PINMOO CREATOR,1,2021-09-23 16:08:06,BELUM PROFESIONAL,negative
Bahrun Tj,1,2021-09-23 00:43:18,ra mutu,negative
user fast,1,2021-09-21 01:47:09,Layanan WA HelpDesk tidak ada respon dan Tidak ada manfaatnya mencantumkan nomor WA kalau tidak ada jawaban.,negative
Jerico Rico,1,2021-09-20 09:23:08,Ikutan rating jelek aja,negative
Mbakni Pijet,3,2021-09-20 06:38:30,Agak susah sinyalnya,neutral
Fajar Yoga,1,2021-09-19 21:01:41,Fake,negative
bayu herbudiawan,1,2021-09-17 15:15:46,Ribet.enak langsung datang ke kecamata selesai,negative
aisyah siti,1,2021-09-17 10:13:38,Aplikasi apaan sih ya. Mau daftar vaksin susah. Diberinpetunjuk WA tp tdk direspon 😂😂,negative
Suri Yati,5,2021-09-16 04:19:05,Nice,positive
Ihsan Nur rohman,2,2021-09-15 22:37:41,KENAPA SAAT AKU MAU MASUK KE APK KADANG KADANG GAK BISA . TOLONG DI PERBAIKI YA,negative
indah puspitasari,5,2021-09-13 08:49:27,Bagus,positive
Audina Mega,2,2021-09-11 10:49:55,Mohon maaf ini kenapa aplikasi nya tidak bisa digunakan ya? Saya pencet apapun yg ada di menu tidak bisa. Mohon bantuannya.,negative
Luis Service station,5,2021-09-11 05:26:31,Bagus👍👍👍👍👍👍👍,positive
yantiendar Handayani,1,2021-09-09 08:02:27,Kok ga bisa didownload yaa????,negative
May Youme,5,2021-09-09 07:15:29,Aplikasinya menurut ku simpel dan pendaftarn tgl ikuti arahan ..pas sampe lokasi lgs gercep..g sample setengah jam lgs dpt giliran,positive
Purwantiningsih Purwantiningsih,5,2021-09-08 07:37:57,Jss memang oke,positive
Usman Oemarbakrie,1,2021-09-08 02:54:41,Di klik go bisa2,negative
Slamet Jogja,5,2021-09-08 00:43:18,Mantap,positive
nurma kurniawati,1,2021-09-06 02:52:43,"Kl blm siap dgn sistem online, mending g usah aja.. jujur ini malah lbh lama dan menyulitkan proses nya.. bukannya Simple or praktis tp mlh ribet.. hrs d wa dl petugasnya.. ujungnya suruh isi ulang.. dah lah.. dasar negara berflower.. birokrasi nya emg g bs berubah.. harusnya sih bintang 0 saja.. serius.. ini blibet bgt.. g guna layanan aplikasi onlen ini.. dua bulan coyy ngurusnya.. makan ati.. mending makan ati asli.. ini gawe dongkol",negative
NugrohoAdi Pamungkas,4,2021-09-04 07:50:04,"Tolong untuk info pendaftaran vaksin diberi keterangan DOSIS KE BERAPA, agar tidak bingung, TERIMAKASIH",neutral
Koko Chanel,1,2021-09-04 07:28:26,"Aplikasi kurang protektif untuk pengguna.... 1. Mau masuk daftar login no nik / usser name angka yg sesuai identitas sya kok bisa sudah dipakai orang lain,, seolah data pribadi kita bisa diliat di aplikasi ini 2. Sya yg asli malah gak bisa daftar karena dipakai pengguna lain, disuruh masukan nik yg lain, tpi malah muncul identitas oramg lain lagi, hadeuhhhh",negative
Anindya Hapsari,3,2021-09-02 23:27:15,Bintang 3 dlu soalnya pernah daftar bikin surat kematian gak ada notifnya. Semoga yang ini bisa kalau bisa tak kasih bintang 5. Segera direspon gih soalnya kami kaum awam masihh bingung blong koplong,neutral
Agung Kurniawan,5,2021-09-02 22:07:52,Sangat membantu masyarakat 👍🏽,positive
Rio hadi Romi wijaya,1,2021-08-31 21:25:23,Mau daftar dan login aja susah nya minta ampun!,negative
BangAL Wara-Wiri,1,2021-08-31 06:24:19,"Aplikasi bagus, tapi tolong dibuat lebih simple, niatnya mau canggih tapi malah bikin emosi masal. Karena gak semua orang mudah memahami aplikai ini. Buat it nya selamat kerja keras, kalau tidak sanggup silahkan mundur biar diganti yang lain yang lebih siap.",negative
Wakiya Yoyok,4,2021-08-30 06:42:05,Bagus,positive
Penjaga Hati,5,2021-08-30 00:36:26,"MANTAP,semua pelayanan bisa jadi satu aplikasi 👍",positive
Rafli Huazaifi,1,2021-08-28 08:26:26,"Provinsi dengan UMR kecil di Indonesia ,urusan birokrasi harus pakai aplikasi,tapi aplikasi nya bobrok, register lama,sudah register gk bisa login,,,lebih bagus dan cepat aplikasi pinjol.... mendingan dana bikin pager alun-alun buat gaji IT yg bisa bikin aplikasi bagus dan mudah buat rakyat dan mudah di gunakan, untuk yang muda aja susah memakai nya,gmn orang tua yang sepuh2...",negative
Dora Sauvenir,1,2021-08-28 02:39:37,"Ini sangat tidak evektif sekali, bahkan membuat masarakatnya bolak balik, sistem, terlalu riber, saya pikir bisa memangkas waktu dan memudahkan semua urusan yg bersangkutan dengan data diri. Ternyata tidak membantu sama sekali.",negative
Carolina Riri,1,2021-08-27 01:20:15,Mau ngurus surat kematian buat orangtua aja dipersulit sebenernya ni app bisa digunain gk si masa gagal muluk udh pake wifi jg gagal admin wa dichat jg kerjaannya nge read doang sebenernya pd kerja gk karyawannya digaji cuman buat bisu?,negative
Iril Ibro Mustofa,4,2021-08-27 00:07:46,Scan eror. Abis di scan lgsung freeze,negative
Rachelia Irene,5,2021-08-24 00:07:29,"Rasah gawe aplikasi !!!!! Kemaren disuruh kelurahan KTP gnti stts suruh wa sesuai templekan neng nduwur ,udh wa smpe hrus klik link ikt antri udh dtggu jawabane trnyta ZONK ,owlah suruh lwt aplikasi ini !!!!!,dlu aja lwt wa lebih enak kenapa lwt aplikasi ,aplikasinya aja jelek bgt !!!!! Cri vaksin aja gak prnh dpt akhire lwt RT ,sistem bobrok skali gais !!!",negative
DAL OFFICIAL,1,2021-08-23 03:26:55,"pelayanan khusus warga jogja KOTA saja.. beda deskripsi sama di w.a (helpdesk) tertera ""melayani vaksinasi luar kota"" padahal saya hanya beda kabupaten saja",negative
pradistya agusta,1,2021-08-23 01:49:18,"Semua diarahkan ke aplikasi , sedangkan aplikasi belum siap , saya daftar vaksin tidak ada pemberitahuan sms, ada pemberitahuan lewat aplikasi tapi di sore hari hari , padahal vaksinnya siang , trus untuk penjadwalan ulang vaksin kapan ? Diaplikasi untuk pembatalan tiket vaksin aja tidak ada respon sudah ada 1 minggu. Trus saya jadi tidak bisa ikut vaksin di lain tempat , tolong ini min direspon",negative
Dian T Indrawan,1,2021-08-22 23:53:30,Gak bisa daftar akun kok minta update. Susah banget daftar akun. Padahal penting banget. Ya weslah...,negative
Agustina Lilik,1,2021-08-22 06:36:25,"Gak pernah bisa masuk, pusing sampek an .. ini sebenarnya bisa di pake gak sih???",negative
yani Yani3023,2,2021-08-22 02:07:26,"Bagian ""pendaftaran vaksin"" memang tdk bs diklik kah?",negative
i-fun channel,1,2021-08-20 17:24:28,"applikasi percuma sebagai apa cuman di lempar lempar kan ke link lain , data masih belum akurat",negative
rob sonny,1,2021-08-20 16:46:09,Saya mau daftar vaksin kok Gk bisa tlg dibantu...,negative
Kurniawan PK,5,2021-08-20 14:36:58,Good,positive
29_Safira Salsabila,5,2021-08-20 13:46:56,Jss Jos tenin,neutral
Rara Fauzan,5,2021-08-20 11:28:44,Sangat terbantu saat pendaftaran vaksinasi covid19,positive
Thomas Bancin,5,2021-08-19 13:20:32,Jss dangat mendukung nagi warga jogja untuk mengetahui informadi seputar kota,positive
AFTEK SOLO,5,2021-08-19 12:19:44,Ok banget warga jadi tahu info nya,positive
harun rosyid,1,2021-08-19 11:18:14,"Kenapa saya pakai Aplikasi di android redmi note 10 pro tp utk fitur pendaftaran vaksinasi tidak bisa saya akses, tp kalau masuk dr smartphone yang lain bisa",negative
Rif'an Gayar Febryan,5,2021-08-19 10:48:07,Pelayanan sangat baik,positive
Reny Wijaya,1,2021-08-18 01:26:33,Gila parah bgt daftar buat ngurus perubahan data aja lama bgt dah dicoba sampek berkali kali tetep aja gak bisa padahal udah pake wifi sampe 2hari parah bgt sampek dateng ke balkot juga ttep gak bsa harus pake jss astagaa gak kelar2 urusan,negative
alkin acak,1,2021-08-17 12:32:42,Kok jadi susah ya,negative
sa ep,1,2021-08-17 03:30:13,Ealah,negative
Agus Prasetyo,5,2021-08-16 03:21:18,Sangat bermanfaat,positive
Didik Purwanto,2,2021-08-15 07:29:27,"App OP bangat , selalu gak bisa di pake🎉",negative
rocipoki,2,2021-08-15 05:18:50,Sudah memakai jaringan yang cepat pun pemuatan aplikasi masih sangat lambat. Tolong diperbaiki,negative
Febrinda Rohadi Rinreswara,1,2021-08-15 00:17:26,Fitur pendaftarqn vaksinnya gak bisa diklik... udah dicek secara berkala juga tetep gak bisa.. atau memang untuk ktp luar jogja gak bisa daftar vaksin lewat aplikasi ini ???,negative
Benny Wijanarko,5,2021-08-14 08:09:58,Ok,neutral
Apriya Nugraha,2,2021-08-13 23:18:54,Kurang bagus...,negative
Forgiven,1,2021-08-12 02:01:48,Pendaftaran vaksin tutup trs......,negative
iBut XD,1,2021-08-12 00:57:34,"Ngurus akta kematian dipersulit... Datang langsung ke dukcapil, disuruh daftar dulu lewat jss.. ini maunya gimana? Sedangkan jss sendiri banyak masalah... Bayar yg banyak gih buat developer nya.. biar kerjanya bener.",negative
wong enak,1,2021-08-11 11:37:00,apa ini ? buang2 kuota internet,negative
Tony Ledzin,1,2021-08-11 07:37:03,"mau daftar vaksin buat adik saya di aplikasi jss udah login udah klik tombok vaksinasi suruh daftar lewat wa,nah udah di wa malah di suruh daftar lewat aplikasi jss lagi.buka aplikasi jss juga sering eror eror terus njok masyarakat kon kepiye?saya sebagai warga sangat kecewa dengan aplikasi jss bukannya mempermudah masyarakat melainkan malah mempersulit.mohon lebih di perbaiki lagi.sekian kritikan dari saya semoga di lihat di dengarkan dan di laksanakan untuk perbaikan aplikasinya.Matur Suwun🙏",negative
iko baskoro,1,2021-08-09 12:22:04,Aneh,negative
Dhayu Al Fatih,3,2021-08-09 10:58:37,"Aplikasi Bagus, mungkin bisa cari penyedia layanan hosting yang lebih baik dan ternama agar tidak terjadi down ketika banyak user yang akses",neutral
Anditya Tri Wanggono,1,2021-08-08 17:51:19,"Aplikasi yang bukan aplikasi, melainkan shortcut menuju web adress yang diarahkan melalui browser.",negative
kamti sukamti,1,2021-08-08 14:24:28,"Aku gak instal dulu, soalnya dr reviewnya aja aplikasi ini belum beres",negative
Muhamad Riadi,5,2021-08-07 13:20:13,Terimakasih,positive
Bambang Setiyaji,5,2021-08-07 01:31:16,Tjakep,negative
kacang lupa daratan,2,2021-08-05 15:01:49,"Lek tulong, daftar baru trus udah dapet link tp bar di klik loading terus""an, gaiso login njuk nek arep ngurus opo"" kudu login. Njuk aku nginstal iki gunane kur ngebaki memori?",negative
R Lilo Dwi,1,2021-08-02 09:15:54,Sering trouble,negative
GuaRian,4,2021-08-02 04:01:46,Oh iya ternyata ada info untuk lokasi vaksinasi plus ada fitur untuk daftar dan boking. Aku kurang informasi 😅,neutral
Kharisma Zufar Adista,5,2021-08-02 03:04:29,Penanganan cepat tapi tingkatkan lagi biar lebih baik,neutral
ariest-,4,2021-07-30 11:25:06,Kode aktivasi ga dikssih2 ki piye to?,negative
Sri Purwanti,5,2021-07-30 05:52:23,Aplikasinya bagus dan bermanfaat banget..semoga Kang Admin sehat selalu.,positive
putti eka,1,2021-07-30 03:57:43,Prek apl eror eror buat aplikasi yang bener nunggu kelamaan as buh. Gimama Indonesia dan jogja mau maju jika seperti ini,negative
Dian Novita Sari,2,2021-07-29 14:08:09,"Untuk mengurus akta kematian saja, ribetnya minta ampun... Diulang berapa kalipun tetap ujung-ujungnya gagal",negative
Mohammad Nurullah,5,2021-07-29 02:52:54,Mantap aplikasi dan pelayanannya...saya rubah data ktp satu hari kerja selesai dan esok hari tinggal ambil ktp di mall pelayanan publik timoho..mantap pokoke,positive
Syafira Azzahra,1,2021-07-29 01:04:14,Kecewa banget. Error apa gimana gatau...pas klik pendaftaran vaksin (sebelum daftar) bisa trs kalau mau masuk harus punya akun dulu. Pas udah daftar akun gabisa di klik dong...kesel banget...kukira ngaruh sama jam mulai pukul 8 ternyata sama aja,negative
Agus Daruntoro,1,2021-07-29 00:56:05,Percuma.. tdk bisa dipakai.. selalu error.. dihubungi ke no helpdesk(WA) tdk ada respon.. dibacapun nggak.. jogja mmg istimewa??? Auto delete..,negative
Fajar arjaken,1,2021-07-28 18:09:50,Rasis sekali vaksin kebanyakan nik JOGJA tidak adil buat pendatang KALIAN TIDAK ADA WARGA PENDATANG WISATA & PENDIDIKAN KALIAN TIDAK AKAN BERKEMBANG INGAT!,negative
agung prastowo,5,2021-07-28 16:22:32,Jos,neutral
Bisatyo Purnomo Agustinus,3,2021-07-28 12:51:45,Coba dululah...,neutral
Brillian Putro Setiawan,5,2021-07-28 11:06:00,"Aplikasi bagus, sangat membantu",positive
Toko Kosmetik,1,2021-07-27 22:34:26,Udah download mau login aja susah banget... aplikasi ga guna..,negative
Muh zuhdi Shofwan,1,2021-07-27 14:10:28,"Lemot parah , mau daftar vaksin sulit.",negative
Ayu Bpp,1,2021-07-27 13:56:48,Sama sekali tdk mmbntu..,negative
Wikan Bimantara,5,2021-07-27 13:37:53,Mantab,positive
resa twentyone,1,2021-07-27 13:27:09,Susah login pendaftaran vaksin,negative
muktasit,5,2021-07-26 12:54:07,Bisa membantu kalau ada kerusakan,neutral
Thama beghe,5,2021-07-25 09:35:29,"mantab dech,, sangat membantu",positive
Megi Nugroho,1,2021-07-25 06:26:10,"Sama sekali tidak ada manfaat,kemudahan dan ke simple an, malah bikin ruwet,mau daftar vaksin aja ruwetnya ampuuun..gak pernah di update. Perbaiki dulu dan bener2 profesional kalau mau bikin aplikasi. Maaf bintang 1 aja deh",negative
Luthfiagus Sanusi,4,2021-07-24 12:55:00,Good programs ...,positive
Arjosentono simatupang,1,2021-07-24 05:30:27,Saya Jafar Nurrohman tunanetra dari Jogja Mohon maaf untuk Jogja Smart Service untuk tunanetra sangat tidak membantu karena banyak sekali fitur-fitur yang tidak di bisa dibuka oleh layanan t a l k b a c k demikian harap dijadikan Pirsa dan Mohon untuk diperbaiki dan disempurnakan kembali,negative
2uuk qjo133,5,2021-07-23 08:57:40,"Aplikasi yg sangat membantu dan memudahkan masyarakat untuk urusan"" Penting",positive
Ogie Dewangga,1,2021-07-22 08:44:11,"Dan pada intinya untuk pengurusan surat di kelurahan/kecamatan tetep menggunakan surat fisik yg akhirnya 2x kerja. Klo memang kepengurusan surat menyurat tidak bisa pake aplikasi ataupun aplikasi belum bisa bekerja secara maksimal tolong di jelaskan detail untuk yg sudah terlaksana atau belum terlaksana itu pengurusan surat apa saja agar ""JELAS"". Biar tidak bikin rancu 2x kerja, jelaskan juga syarat syarat yg harus di upload di aplikasi apa saja itu baru smart service.",negative
Gond Gondang,5,2021-07-22 04:19:16,"Wah gila sih, ga sampe sehari ganti ktp rusak ga pake ribet urus lewat apps tinggal ambil 👍👍",positive
Sang driver,1,2021-07-19 09:05:37,Aplikasi RIBET!!!!Urusan gampang malah dadi rumit...ganti wae wong2an e,negative
rizqy anugraha,5,2021-07-17 05:04:04,Baik,positive
Alfatsya M Masagala,2,2021-07-14 03:07:41,Gabisa umum,neutral
Abe,5,2021-07-12 15:10:10,Sangat terbantu sekali oleh aplikasi JSS,positive
Moh. Fahmi,5,2021-07-10 12:16:33,Sangat bermanfaat bagi masyarakat,positive
Bambang Edy Pamungkas,5,2021-07-09 05:20:13,Bagus,positive
Handri Yanto,1,2021-07-06 23:37:03,"Ngurus ktp sejak tanggal 24 juni sampai tanggal 7 juli belu jadi proses ribet sekali ,, bikin ribet malah bikin lama prosesnya",negative
emi sukiswati,5,2021-07-05 14:17:28,Oke,neutral
Sri Lestari,5,2021-07-02 03:38:37,",, yg j",positive
